velox_path,bolt_path,category,keep_velox_name,notes
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestForwardCompatibility.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestForwardCompatibility.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenDataFrameWriterV2.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenDataFrameWriterV2.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenDataFrameWriterV2Coercion.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenDataFrameWriterV2Coercion.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenDataSourceOptions.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenDataSourceOptions.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenIcebergSourceHiveTables.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenIcebergSourceHiveTables.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenIdentityPartitionData.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenIdentityPartitionData.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenPositionDeletesTable.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenPositionDeletesTable.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenRuntimeFiltering.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenRuntimeFiltering.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenSparkMetadataColumns.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenSparkMetadataColumns.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenSparkStagedScan.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestGlutenSparkStagedScan.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestIcebergSpark.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestIcebergSpark.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestParquetScan.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestParquetScan.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestPartitionPruning.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestPartitionPruning.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestPartitionValues.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestPartitionValues.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestSparkDataFile.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestSparkDataFile.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestSparkReaderWithBloomFilter.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestSparkReaderWithBloomFilter.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestStructuredStreaming.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestStructuredStreaming.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/source/TestTimestampWithoutZone.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/source/TestTimestampWithoutZone.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestFilterPushDown.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestFilterPushDown.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenAggregatePushDown.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenAggregatePushDown.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenDeleteFrom.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenDeleteFrom.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenPartitionedWritesAsSelect.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenPartitionedWritesAsSelect.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenPartitionedWritesToBranch.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenPartitionedWritesToBranch.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenPartitionedWritesToWapBranch.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenPartitionedWritesToWapBranch.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenSelect.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenSelect.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenTimestampWithoutZone.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/gluten/sql/TestGlutenTimestampWithoutZone.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/iceberg/spark/SparkTestBase.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/iceberg/spark/SparkTestBase.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/iceberg/spark/extensions/SparkExtensionsTestBase.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/iceberg/spark/extensions/SparkExtensionsTestBase.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/GlutenSparkScanBuilder.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/GlutenSparkScanBuilder.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/TestIcebergSourceTablesBase.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/TestIcebergSourceTablesBase.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/TestSparkReadProjection.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/TestSparkReadProjection.java,identical,no,similarity=1.0000
backends-velox/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/TestSparkReaderDeletes.java,backends-bolt/src-iceberg-spark34/test/java/org/apache/iceberg/spark/source/TestSparkReaderDeletes.java,renamed,yes,similarity=1.0000
